"setting","mech","n","cens","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"C","C3",600,0.6,"H-IPCW",100,0.89019,0.00814692970611406,0.90775,0.57,0.028045,0.04628,0.491669620324471,0.851669534786858,0.0709744583450535,0.0814692970611405,1790.99477135287,37.5146271122927,NA
"B","C2",1200,0.6,"H-IPCW",100,0.90993,0.00630261297423777,0.92075,0.85,0.01443,0.03879,0.418971465002953,0.868173608267503,0.0653236696625489,0.0630261297423777,348.698431350775,68.8300540071117,NA
"C","C2",1200,0.6,"H-IPCW",100,0.89279,0.0105486754877309,0.9125,0.62,0.02343,0.03965,0.492297624963605,0.858284188261002,0.0508126883064584,0.105486754877309,270.528226752903,89.2302482912294,NA
"B","C3",1200,0.6,"H-IPCW",100,0.893905,0.00531946442489061,0.905,0.56,0.01863,0.031165,0.445462202987551,0.866081961334963,0.040558101483669,0.0531946442489061,102.258472382666,52.9145064229801,NA
"C","C3",1200,0.6,"H-IPCW",100,0.89075,0.00837127272705334,0.90625,0.62,0.02372,0.03819,0.503898817349239,0.854656096620866,0.067342858612184,0.0837127272705334,30695.5456648239,63.6126765702466,NA
"B","C2",600,0.8,"H-IPCW",100,0.926295,0.00579594988772419,0.938,0.88,0.010845,0.047985,0.366414053524236,0.877250611700924,0.0844764625636794,0.0579594988772419,146.424054117011,17.8417099207436,NA
"C","C2",600,0.8,"H-IPCW",100,0.908265,0.00588322154155958,0.9185,0.61,0.018715,0.045695,0.46587516788182,0.866310993792227,0.0448200667540599,0.0588322154155958,310.775315961076,20.5636557571838,NA
"B","C3",600,0.8,"H-IPCW",100,0.886115,0.0116086715563423,0.92525,0.71,0.042565,0.071245,0.394351342088729,0.850425086780316,0.109968360922769,0.116086715563423,688.266020946579,16.5667365741452,NA
"C","C3",600,0.8,"H-IPCW",100,0.893645,0.0120573718910545,0.926,0.63,0.035375,0.064395,0.44342171455942,0.852015774154653,0.0667593295413314,0.120573718910545,921.574255687749,17.3662481023154,NA
"B","C2",1200,0.8,"H-IPCW",100,0.923905,0.00560431244037062,0.93475,0.85,0.012075,0.048055,0.381335286334453,0.88039825823869,0.0723350788785333,0.0560431244037062,4316.30462120963,26.9105784321252,NA
"C","C2",1200,0.8,"H-IPCW",100,0.91875,0.00456903555015562,0.92225,0.77,0.00962500000000001,0.038,0.461181517217822,0.885626948789303,0.036167399797066,0.0456903555015562,88.0761559576941,36.6541676841766,NA
"B","C3",1200,0.8,"H-IPCW",100,0.899195,0.0085949183218688,0.9255,0.71,0.028475,0.056145,0.392850417105783,0.872120882468885,0.0750041076316235,0.085949183218688,806.813886834498,24.0733244123114,NA
"C","C3",1200,0.8,"H-IPCW",100,0.90407,0.00820744002214891,0.926,0.71,0.02084,0.04575,0.448614363231326,0.87044704487196,0.0638653887390336,0.0820744002214891,127.902940009565,24.9746096854662,NA
"B","C2",600,0.6,"KM de-censoring",100,0.958005,0.00130561133558037,0.958,1,0,0.058005,0.340388810709763,0.932419594560129,NA,0.0130561133558037,NA,NA,NA
"C","C2",600,0.6,"KM de-censoring",99,0.961323232323232,0.00117235808358841,0.9625,1,0,0.0613232323232323,0.3449696608417,0.916255520313748,NA,0.0116648156496086,NA,NA,NA
"B","C3",600,0.6,"KM de-censoring",100,0.952145,0.0013830009640874,0.9545,1,0,0.052145,0.350316913653581,0.913219608785825,NA,0.013830009640874,NA,NA,NA
