"rep","setting","mech","n","cens","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
9,"B","C2",600,0.6,"Clip-AIPCW",0.05,0.966,0,0.0659999999999999,0.380020861646393,0.320112830654298,-1.13543156190251,0.94949494949495,3.70403543377792,5.2754048277721,75.7485901077319,1.47561800781545,0.101123595505618
9,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9835,0,0.0835,0.27604449760654,0.191897133857468,-5.2928355735404,0.95,NA,NA,NA,NA,NA
9,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.938,0,0.0379999999999999,0.46949280055919,0.428829613354248,-0.895233334951975,0.916161616161616,NA,NA,NA,NA,NA
9,"B","C2",600,0.6,"KM de-censoring",NA,0.976,0,0.076,0.324411156046114,0.211465221612723,-4.79930830086749,0.922,NA,NA,NA,NA,NA
9,"B","C2",600,0.6,"Oracle",NA,0.898,0.002,0.002,1.27190130248564,0.609085442023534,-0.4379500726014,0.892,NA,NA,NA,NA,NA
10,"B","C2",600,0.6,"H-IPCW",0.11,0.9265,0,0.0265,0.46495038623895,0.42269348384949,-0.861853937954022,0.9,15.4081958042194,15.4245439013283,63.8380949858591,1.66464913766178,NA
10,"B","C2",600,0.6,"Clip-IPCW",0.11,0.9265,0,0.0265,0.46495038623895,0.42269348384949,-0.861853937954022,0.9,3.88839671730411,4.39365492225505,87.3140275648401,1.3251475236061,0.10377358490566
10,"B","C2",600,0.6,"H-AIPCW",0.11,0.9265,0,0.0265,0.46495038623895,0.42269348384949,-0.861853937954022,0.9,15.4081958042194,15.4245439013283,63.8380949858591,1.66464913766178,NA
10,"B","C2",600,0.6,"Clip-AIPCW",0.1,0.934,0,0.034,0.439426009160855,0.399488883553312,-0.918315290943711,0.908,3.88839671730411,4.39365492225505,87.3140275648401,1.3251475236061,0.10377358490566
10,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.925,0,0.025,0.489133230209638,0.428496535519473,-0.858068079828846,0.907945736434108,NA,NA,NA,NA,NA
10,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.922,0,0.022,0.490006709773606,0.434102775938428,-0.847382490341125,0.906976744186046,NA,NA,NA,NA,NA
10,"B","C2",600,0.6,"KM de-censoring",NA,0.9545,0,0.0545,0.421338600886712,0.351775714554511,-1.12663629458859,0.930596285434995,NA,NA,NA,NA,NA
10,"B","C2",600,0.6,"Oracle",NA,0.9,0,0,1.42458847520566,0.597478565699739,-0.423249527617063,0.88953488372093,NA,NA,NA,NA,NA
11,"B","C2",600,0.6,"H-IPCW",0.36,0.65,0.25,0.25,0.970251439359922,0.90966307043608,-0.0952138967891001,0.538,2516.93804168462,169.218868911577,1.84390815093086,11.3885353919479,NA
11,"B","C2",600,0.6,"Clip-IPCW",0.1,0.913,0,0.013,0.443815120516952,0.416100619754551,-0.877361070047314,0.85,5.49898900501204,6.41455116695994,67.4664705187378,1.60250512942064,0.105263157894737
11,"B","C2",600,0.6,"H-AIPCW",0.01,0.998,0,0.098,0.124246331283429,0.116487638792129,-2.150503012884,0.994,2516.93804168462,169.218868911577,1.84390815093086,11.3885353919479,NA
11,"B","C2",600,0.6,"Clip-AIPCW",0.05,0.968,0,0.0679999999999999,0.300484474997081,0.281720406747905,-1.26737306179347,0.94,5.49898900501204,6.41455116695994,67.4664705187378,1.60250512942064,0.105263157894737
11,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9525,0,0.0525,0.415974786912478,0.368442609811321,-1.09267507047754,0.918,NA,NA,NA,NA,NA
11,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9185,0,0.0185,0.449335486336066,0.417076133306236,-0.894247809615235,0.874,NA,NA,NA,NA,NA
11,"B","C2",600,0.6,"KM de-censoring",NA,0.9545,0,0.0545,0.415797542735386,0.360345356177121,-1.12613073515246,0.926,NA,NA,NA,NA,NA
11,"B","C2",600,0.6,"Oracle",NA,0.901,0,0.001,1.15486592880875,0.5795723385849,-0.471540766027021,0.886,NA,NA,NA,NA,NA
12,"B","C2",600,0.6,"H-IPCW",0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,16.1535582794257,16.2372930449206,60.6184992061297,1.72382393706534,NA
12,"B","C2",600,0.6,"Clip-IPCW",0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,4.26224197112649,4.74993368151054,82.4518239948957,1.38520237147298,0.1
12,"B","C2",600,0.6,"H-AIPCW",0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,16.1535582794257,16.2372930449206,60.6184992061297,1.72382393706534,NA
