"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"B","C3",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.91879,0.0017666978270551,0.9205,0.88285,0.89675,0.86,0.96,0.02,0.0018,0.02239,0.414720545408594,0.894091849112873,0.0152669842497072,0.017666978270551,2.16570072760062,267.093647875198,0.103633766429954,2.16570072760062,0.801129371952389,NA
"C","C3",1200,0.4,"weibull_cox","Clip-AIPCW",100,0.916625,0.00172612684611789,0.91675,0.887975,0.8964,0.85,0.97,0.02,0.00154,0.019705,0.476088848989467,0.882089052847688,0.0181850754658035,0.0172612684611789,2.14930115848177,269.544183208163,0.0997783811735057,2.14930115848177,0.805444595203876,NA
"A","C1",300,0.6,"weibull_cox","Clip-AIPCW",100,0.934105,0.00328659117714032,0.9375,0.8783,0.88705,0.87,0.94,0.02,0.00355,0.041205,0.204138229338759,0.914948520220149,0.036103666676319,0.0328659117714032,2.83194652548749,43.3288273918995,0.129019160644481,2.83745040577308,0.656344921703782,NA
"B","C1",300,0.6,"weibull_cox","Clip-AIPCW",100,0.933125,0.00271451741530236,0.935,0.886825,0.89725,0.89,0.97,0.02,0.001685,0.036495,0.375197052064798,0.901809280966602,0.0272333722784485,0.0271451741530236,3.12486041108968,42.23940057537,0.128237224065193,3.12486041108968,0.690943470198343,NA
"C","C1",300,0.6,"weibull_cox","Clip-AIPCW",100,0.931385,0.00318987393278648,0.937,0.8727,0.88795,0.88,0.93,0.02,0.003875,0.039135,0.417843033607177,0.897942753896175,0.0330807093837683,0.0318987393278648,3.09793530240028,41.729190953438,0.129888067926848,3.09793530240028,0.678963411325865,NA
"A","C2",300,0.6,"weibull_cox","Clip-AIPCW",100,0.927005,0.00312377244576638,0.934,0.877275,0.88995,0.82,0.94,0.02,0.00390000000000001,0.034805,0.222764467526804,0.906317968716711,0.0378679257153042,0.0312377244576638,3.40264604617967,41.6869649307528,0.117291492546855,3.41579525195699,0.734722082933151,NA
"B","C2",300,0.6,"weibull_cox","Clip-AIPCW",100,0.938385,0.00279141771843411,0.941,0.88945,0.9033,0.92,0.95,0.02,0.00153,0.041445,0.372817329418701,0.907229421799647,0.0304139787106209,0.0279141771843411,3.58992700784114,40.8164754496838,0.131168698699535,3.58992700784114,0.758541913469589,NA
"C","C2",300,0.6,"weibull_cox","Clip-AIPCW",100,0.91847,0.00975204412656468,0.92975,0.88235,0.88885,0.8,0.95,0.02,0.01211,0.04269,0.431079776507274,0.883188530972056,0.0331966896244219,0.0975204412656468,3.36933877991908,41.6644049870365,0.134384129889503,3.36933877991908,0.763111136680594,NA
"A","C3",300,0.6,"weibull_cox","Clip-AIPCW",100,0.935555,0.00335906654151165,0.939,0.877875,0.89875,0.89,0.94,0.02,0.003315,0.042185,0.201881169884668,0.917816744930373,0.0361148560606688,0.0335906654151165,2.77817487183733,43.3737065896561,0.129038973879383,2.79023286360168,0.640047054908813,NA
"B","C3",300,0.6,"weibull_cox","Clip-AIPCW",100,0.933885,0.00263718413303189,0.937,0.882975,0.9034,0.93,0.97,0.02,0.00185,0.037585,0.365666608928222,0.901146303293162,0.0262025906653475,0.0263718413303189,3.0980334629808,41.8927216234781,0.127832518375949,3.0980334629808,0.669279436904349,NA
"C","C3",300,0.6,"weibull_cox","Clip-AIPCW",100,0.927775,0.00350654060581109,0.93275,0.865425,0.87935,0.82,0.89,0.02,0.00532500000000001,0.038425,0.416974499987588,0.891166621023899,0.0323333333333333,0.0350654060581109,3.09126640608198,41.4929629779982,0.123742574066105,3.0966054597948,0.662549017857062,NA
"A","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.916455,0.00962298672371777,0.92475,0.885,0.89355,0.82,0.97,0.02,0.011465,0.039385,0.234614348370416,0.901440012610173,0.0263588292378072,0.0962298672371777,3.00157004313083,83.4895662322418,0.109022071356049,3.00157004313083,0.644480915827762,NA
"B","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.93011,0.00203955308037736,0.9325,0.893425,0.9039,0.91,0.99,0.02,0.000815000000000004,0.03174,0.378511325625849,0.90214815856798,0.0224517439875126,0.0203955308037736,3.08565931271057,83.2755406400604,0.114653700188218,3.08565931271057,0.670585136161239,NA
"C","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.909445,0.0133192556268939,0.931,0.8729,0.8879,0.84,0.93,0.02,0.020615,0.050675,0.436783593093373,0.878548067574872,0.0296938928523572,0.133192556268939,3.12594779989251,81.6510526834369,0.114224594706907,3.12594779989251,0.660755090718051,NA
"A","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.912895,0.00949324399589816,0.9225,0.8827,0.891,0.82,0.95,0.02,0.01098,0.034855,0.241458541765423,0.896711964968555,0.0236267268622258,0.0949324399589817,3.43677553485808,82.5449036451773,0.104241390849359,3.43677553485808,0.726860910025052,NA
"B","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.93517,0.00200411470669115,0.9375,0.896475,0.9078,0.93,1,0.02,0.000620000000000002,0.03641,0.387040439659999,0.901594661417997,0.0238081558048557,0.0200411470669115,3.60074657188379,81.835038249787,0.11072283151632,3.60074657188379,0.764554237318984,NA
"C","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.922245,0.002674075833939,0.92525,0.87285,0.88545,0.83,0.91,0.02,0.00387,0.029985,0.452615801474219,0.889217580642485,0.0275600354781259,0.02674075833939,3.49479656928462,82.4808966072358,0.108023232097498,3.49479656928462,0.760899047320981,NA
"A","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.92932,0.00215257093173758,0.931,0.895175,0.90365,0.92,0.97,0.02,0.001135,0.03159,0.226981073268883,0.914341057130755,0.0235571516516618,0.0215257093173758,2.9276844793098,84.0076477207279,0.10964891101078,2.93069128596252,0.630857484209901,NA
"B","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.93053,0.00212828261015469,0.93425,0.899425,0.90395,0.95,0.98,0.02,0.001115,0.03276,0.376324864137269,0.902797311115245,0.0230228257399153,0.0212828261015469,3.12346449085996,82.2759905624759,0.10938168720689,3.12346449085996,0.656284034609691,NA
"C","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.92622,0.00256868594319109,0.93025,0.883175,0.89235,0.83,0.95,0.02,0.00254500000000001,0.03131,0.442345036045009,0.893492516963696,0.026307428762249,0.0256868594319109,3.07745303684471,81.434476014533,0.116115472607836,3.07745303684471,0.646929642455882,NA
"A","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93176,0.00183077617805711,0.9315,0.898975,0.90815,0.94,1,0.02,0.000500000000000002,0.03276,0.225657076052819,0.916703786893823,0.0175338057316244,0.0183077617805711,3.0602361454749,165.497465588616,0.102793585998653,3.0602361454749,0.641343271109418,NA
"B","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.9299,0.00158413855123059,0.93225,0.899475,0.9115,0.94,0.99,0.02,0.000460000000000003,0.03082,0.384521125507685,0.90861523183255,0.0140342294394668,0.0158413855123059,3.16460489087642,165.784867237006,0.107499243479852,3.16460489087642,0.676630006574987,NA
"C","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.927585,0.0017390211893389,0.92675,0.899425,0.9059,0.94,1,0.02,0.000270000000000002,0.028125,0.45048489420171,0.897077798885079,0.0186947840184087,0.017390211893389,3.16409357537782,165.062066702211,0.107027569782351,3.16409357537782,0.673229172931383,NA
