"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"A","C1",600,0.2,"weibull_cox","H-IPCW",100,0.90064,0.00218983049018813,0.90125,0.52,0.00834000000000001,0.01732,0.281803818866873,0.883575928299157,0.0240645176577676,0.0218983049018813,9.70784657875231,148.511064175254,NA
"A","C1",1200,0.2,"weibull_cox","H-IPCW",100,0.905505,0.00185560160681983,0.9065,0.62,0.00522500000000001,0.015955,0.27365558181889,0.89013294605825,0.0182183723452204,0.0185560160681983,14.0319664950653,285.276517738356,NA
"A","C1",600,0.4,"weibull_cox","H-IPCW",100,0.90032,0.00329104631668803,0.904,0.57,0.011365,0.02305,0.274422311017387,0.882530934095211,0.0334760580810594,0.0329104631668803,19.3935460026907,80.96585974494,NA
"A","C1",1200,0.4,"weibull_cox","H-IPCW",100,0.905665,0.00321390645429666,0.9065,0.62,0.00783500000000001,0.021335,0.267122882401174,0.890480373252967,0.0308983344325721,0.0321390645429666,35.2820778604386,146.042993413113,NA
"A","C1",600,0.6,"weibull_cox","H-IPCW",100,0.88996,0.0117279358280935,0.9155,0.64,0.02933,0.04862,0.260502984418895,0.872157497601211,0.0701959019207293,0.117279358280935,90.932914647291,39.564199953014,NA
"A","C1",1200,0.6,"weibull_cox","H-IPCW",100,0.90109,0.00752743594587107,0.9165,0.74,0.018205,0.0375,0.256571891438998,0.883584408410811,0.0715690667336896,0.0752743594587107,179.070659971793,67.374056143812,NA
"A","C1",600,0.2,"weibull_cox","HT-IPCW",100,0.90371,0.00658236924279433,0.92175,0.6,0.02531,0.05433,0.24474980657293,0.887789085985584,0.065927033433742,0.0658236924279433,9.70784657875231,148.511064175254,NA
"A","C1",1200,0.2,"weibull_cox","HT-IPCW",100,0.906455,0.00634754424398073,0.91775,0.63,0.019525,0.045505,0.258127965858287,0.892307217493572,0.0628450073553576,0.0634754424398073,14.0319664950653,285.276517738356,NA
"A","C1",600,0.4,"weibull_cox","HT-IPCW",100,0.919865,0.0104399264070126,0.97625,0.69,0.0325,0.084865,0.124449680001979,0.907177343013275,0.103786883428096,0.104399264070126,19.3935460026907,80.96585974494,NA
"A","C1",1200,0.4,"weibull_cox","HT-IPCW",100,0.916315,0.0106134411992958,0.96925,0.7,0.03537,0.087055,0.138493438321025,0.904300042943451,0.103861990792172,0.106134411992958,35.2820778604386,146.042993413113,NA
"A","C1",600,0.6,"weibull_cox","HT-IPCW",100,0.91208,0.0168943758497772,0.98575,0.8,0.052945,0.11797,0.0805391698811475,0.899062722624854,0.131087140421318,0.168943758497772,90.932914647291,39.564199953014,NA
"A","C1",1200,0.6,"weibull_cox","HT-IPCW",100,0.92246,0.0133805238380946,0.987,0.78,0.043555,0.10957,0.0798763357363521,0.910607269526378,0.130898179259046,0.133805238380946,179.070659971793,67.374056143812,NA
"A","C1",600,0.2,"weibull_cox","Naive-Y",100,0.952845,0.00144081372561452,0.955,1,0,0.052845,0.174840666637154,0.94215976636752,0.015668278447071,0.0144081372561452,1,240,NA
"A","C1",1200,0.2,"weibull_cox","Naive-Y",100,0.95841,0.00110415606055512,0.96075,1,0,0.05841,0.164522955785816,0.947736670030077,0.0105102162900982,0.0110415606055512,1,480,NA
