"rep","n","setting","mech","cens","backend","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
10,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.935,0,0.035,0.308869684245805,0.217108421002328,-1.53130567987787,0.918387413962635,1,1,240,0,NA
10,600,"A","C1",0.2,"weibull_cox","CC",0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,1,1.18811881188119,202,0.434633086500201,NA
10,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.18,0.7665,0.1335,0.1335,0.728129371479696,0.511811376093383,-0.673746393503561,0.74,23.5833450540456,19.5680357709843,81.3491385109079,1.39943073759117,NA
10,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.09,0.8645,0.0355,0.0355,0.486400231029215,0.341896895422991,-1.07719332835887,0.846,23.5833450540456,19.5680357709843,81.3491385109079,1.39943073759117,NA
10,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,7.35975521734482,7.82055307777135,159.855214913779,0.709546562435961,NA
10,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.08,0.8775,0.0225000000000001,0.0225000000000001,0.454972885603124,0.319806215470331,-1.14398730889432,0.860373647984267,1.77194847452038,1.76979738364405,193.832278227027,0.489060786845648,0.103960396039604
10,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.05,0.918,0,0.018,0.349585789580484,0.245728288180816,-1.40747613868638,0.902,23.5833450540456,19.5680357709843,81.3491385109079,1.39943073759117,NA
10,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,1.77194847452038,1.76979738364405,193.832278227027,0.489060786845648,0.103960396039604
11,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.954,0,0.0539999999999999,0.219263950534138,0.159039931570296,-1.83477759319967,0.938,1,1,240,0,NA
11,600,"A","C1",0.2,"weibull_cox","CC",0.08,0.912,0,0.012,0.335591763560097,0.243416626317892,-1.40915841900098,0.89,1,1.33333333333333,180,0.578556854140372,NA
11,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.03,0.969,0,0.069,0.18415313668593,0.133572811151306,-2.00928617479539,0.956,4.46297404410716,4.83057030890028,156.455545435173,0.732267912241364,NA
11,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.09,0.901,0,0.001,0.361150394783226,0.261955209385718,-1.33575937323729,0.876,4.46297404410716,4.83057030890028,156.455545435173,0.732267912241364,NA
11,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.08,0.912,0,0.012,0.335591763560097,0.243416626317892,-1.40915841900098,0.89,2.62829222604947,3.65168505155674,170.682861756572,0.638604573848421,NA
11,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.08,0.912,0,0.012,0.335591763560097,0.243416626317892,-1.40915841900098,0.89,1.49205043621922,1.73558015624374,176.689922083729,0.59984246085283,0.1
11,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.1,0.893,0.00700000000000001,0.00700000000000001,0.385800331919316,0.279834684355433,-1.26973389005006,0.864,4.46297404410716,4.83057030890028,156.455545435173,0.732267912241364,NA
11,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.08,0.912,0,0.012,0.335591763560097,0.243416626317892,-1.40915841900098,0.89,1.49205043621922,1.73558015624374,176.689922083729,0.59984246085283,0.1
12,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.07,0.925,0,0.025,0.326566529547143,0.220749301241945,-1.52559811018456,0.914,1,1,240,0,NA
12,600,"A","C1",0.2,"weibull_cox","CC",0.13,0.8665,0.0335,0.0335,0.486959890008626,0.329170462145419,-1.12605004567267,0.852,1,1.2,200,0.448148212183963,NA
12,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.17,0.8305,0.0695,0.0695,0.582110993136982,0.393489789533662,-0.9475706645788,0.82,8.71798080335893,8.30931657896298,154.829536652218,0.743231774553501,NA
12,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.15,0.8475,0.0525,0.0525,0.53531259762817,0.361855460314007,-1.03138093309033,0.834,8.71798080335893,8.30931657896298,154.829536652218,0.743231774553501,NA
12,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.13,0.8665,0.0335,0.0335,0.486959890008626,0.329170462145419,-1.12605004567267,0.852,3.65777073828401,4.235299825424,192.846548655544,0.495515766939508,NA
12,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.13,0.8665,0.0335,0.0335,0.486959890008626,0.329170462145419,-1.12605004567267,0.852,1.52622213078494,1.58215375600759,196.123039921646,0.473980666869497,0.1
12,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.14,0.858,0.042,0.042,0.511356669170586,0.345661962238907,-1.07716447453643,0.844,8.71798080335893,8.30931657896298,154.829536652218,0.743231774553501,NA
12,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.13,0.8665,0.0335,0.0335,0.486959890008626,0.329170462145419,-1.12605004567267,0.852,1.52622213078494,1.58215375600759,196.123039921646,0.473980666869497,0.1
13,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.06,0.949,0,0.0489999999999999,0.311616408635894,0.200123074530461,-1.60177776400642,0.934,1,1,240,0,NA
13,600,"A","C1",0.2,"weibull_cox","CC",0.12,0.8885,0.0115000000000001,0.0115000000000001,0.492192752721769,0.316090950946624,-1.14468032231647,0.87,1,1.2565445026178,191,0.50756074570296,NA
13,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.16,0.853,0.047,0.047,0.598472553727131,0.384344868096828,-0.949170070397892,0.832,4.65177515327543,4.59331372633,161.655465959631,0.697615022992968,NA
13,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.13,0.878,0.022,0.022,0.519472193457992,0.333610071892476,-1.09073745238961,0.858,4.65177515327543,4.59331372633,161.655465959631,0.697615022992968,NA
13,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.12,0.8885,0.0115000000000001,0.0115000000000001,0.492192752721769,0.316090950946624,-1.14468032231647,0.87,1.97127278404195,2.4732491603416,186.898797153775,0.534140608226507,NA
13,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.12,0.8885,0.0115000000000001,0.0115000000000001,0.492192752721769,0.316090950946624,-1.14468032231647,0.87,1.58146367982677,1.70477276318399,186.454573437387,0.537008724510574,0.0994764397905759
13,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.12,0.8885,0.0115000000000001,0.0115000000000001,0.492192752721769,0.316090950946624,-1.14468032231647,0.87,4.65177515327543,4.59331372633,161.655465959631,0.697615022992968,NA
13,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.12,0.8885,0.0115000000000001,0.0115000000000001,0.492192752721769,0.316090950946624,-1.14468032231647,0.87,1.58146367982677,1.70477276318399,186.454573437387,0.537008724510574,0.0994764397905759
14,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.03,0.9705,0,0.0705,0.201930241217845,0.134681503613554,-1.99592215629572,0.956,1,1,240,0,NA
14,600,"A","C1",0.2,"weibull_cox","CC",0.09,0.9215,0,0.0215,0.397172717899519,0.264902465912876,-1.319473209789,0.902,1,1.31868131868132,182,0.565698429660321,NA
14,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.06,0.9485,0,0.0485,0.30862062113199,0.205840834188694,-1.57173169429547,0.936,6.94401208455716,7.43673373620997,147.066590350799,0.796591364702099,NA
14,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.09,0.9215,0,0.0215,0.397172717899519,0.264902465912876,-1.319473209789,0.902,6.94401208455716,7.43673373620997,147.066590350799,0.796591364702099,NA
14,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.08,0.9275,0,0.0275,0.368947276199475,0.246076930394313,-1.39319070264391,0.908,2.39153423677266,3.36903728662146,176.936223937046,0.598257674907492,NA
14,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.09,0.9215,0,0.0215,0.397172717899519,0.264902465912876,-1.319473209789,0.902,1.50003371094648,1.73154373021747,178.46411242199,0.58843088129135,0.104395604395604
14,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.09,0.9215,0,0.0215,0.397172717899519,0.264902465912876,-1.319473209789,0.902,6.94401208455716,7.43673373620997,147.066590350799,0.796591364702099,NA
14,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.09,0.9215,0,0.0215,0.397172717899519,0.264902465912876,-1.319473209789,0.902,1.50003371094648,1.73154373021747,178.46411242199,0.58843088129135,0.104395604395604
15,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.06,0.943,0,0.0429999999999999,0.289783666073678,0.191092351008244,-1.6405585064934,0.932,1,1,240,0,NA
15,600,"A","C1",0.2,"weibull_cox","CC",0.11,0.8955,0.00450000000000006,0.00450000000000006,0.427105876105782,0.281646881966558,-1.25266123613422,0.884,1,1.18811881188119,202,0.434633086500201,NA
15,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.13,0.8755,0.0245000000000001,0.0245000000000001,0.476375606880469,0.314136872913406,-1.14348653888827,0.862,5.20448068146501,5.13045408288555,178.307812022222,0.589435884008887,NA
15,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.13,0.8755,0.0245000000000001,0.0245000000000001,0.476375606880469,0.314136872913406,-1.14348653888827,0.862,5.20448068146501,5.13045408288555,178.307812022222,0.589435884008887,NA
15,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.11,0.8955,0.00450000000000006,0.00450000000000006,0.427105876105782,0.281646881966558,-1.25266123613422,0.884,3.74143087328648,4.35136228674327,187.409121880218,0.530843518036261,NA
15,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.12,0.8835,0.0165000000000001,0.0165000000000001,0.452025318228157,0.298079536178917,-1.19595497999418,0.87,1.52145365998355,1.59105235134315,197.7290296035,0.463332283846982,0.103960396039604
15,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.12,0.8835,0.0165000000000001,0.0165000000000001,0.452025318228157,0.298079536178917,-1.19595497999418,0.87,5.20448068146501,5.13045408288555,178.307812022222,0.589435884008887,NA
15,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.11,0.8955,0.00450000000000006,0.00450000000000006,0.427105876105782,0.281646881966558,-1.25266123613422,0.884,1.52145365998355,1.59105235134315,197.7290296035,0.463332283846982,0.103960396039604
16,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.05,0.953,0,0.0529999999999999,0.28107161673104,0.203267742109689,-1.61071621568206,0.938,1,1,240,0,NA
16,600,"A","C1",0.2,"weibull_cox","CC",0.09,0.9175,0,0.0175,0.40127106441768,0.290194592348981,-1.25468854629766,0.904,1,1.27659574468085,188,0.527022816443369,NA
16,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.02,0.983,0,0.083,0.163029877482186,0.117901321654736,-2.15539223490851,0.976,3.67829583490796,4.00910500204411,174.009491406626,0.61710766294037,NA
16,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.1,0.9045,0,0.00449999999999995,0.428120433522314,0.309611745523117,-1.18992117362072,0.888,3.67829583490796,4.00910500204411,174.009491406626,0.61710766294037,NA
16,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.9335,0,0.0335,0.344281099888787,0.248980109195443,-1.40786724182815,0.914,1.69636169079726,2.32315162886724,184.056731060064,0.552464959939307,NA
16,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.1,0.9045,0,0.00449999999999995,0.428120433522314,0.309611745523117,-1.18992117362072,0.888,1.4250641317899,1.63035263314959,185.297580022199,0.544471392875473,0.101063829787234
