"method","tau_hat","calibration_moment","clip_c","coverage_ipcw_hajek","coverage_ipcw_ht","observed_y_coverage","coverage_shortfall","abs_calibration_error","pac_success","mean_lpb","median_lpb","mean_log_lpb","sd_lpb","worst_slice_coverage","max_raw_weight","max_normalized_weight","weight_variance","weight_cv","effective_sample_size","clipped_fraction","computation_time_sec","split","n_total","n_train","n_cal","n_test","events_train","events_cal","events_test","censoring_test"
"CC",0.05,0.0135802469135802,Inf,0.928986938575441,0.545762815625741,0.924418604651163,0,0.0289869385754408,1,0.852464251566775,0.790813576562602,-0.258449565138747,0.389556066029967,0.819983861476245,1,1,0.25077399380805,1.05718827974185,81,NA,0.048,6,686,343,171,172,148,81,70,0.593023255813954
"HT-IPCW",0.01,-0.156741074834658,Inf,0.989934241842278,0.581568240281885,0.970930232558139,0,0.0899342418422777,1,0.274127303389697,0.254302268779757,-1.39298823037002,0.125269715068549,0.930683018051811,9.90227728980597,9.90227728980597,1.80802238911044,1.80909664857528,40.2003782147721,NA,0.228,6,686,343,171,172,148,81,70,0.593023255813954
"H-IPCW",0.06,0.00994916482363679,Inf,0.908257559691853,0.533584685109688,0.912790697674419,0,0.00825755969185293,1,0.971348547774729,0.901100096271254,-0.127895478346197,0.443883386686983,0.719277219886802,9.90227728980597,13.3227828883497,1.80802238911044,1.80909664857528,40.2003782147721,NA,0.0609999999999999,6,686,343,171,172,148,81,70,0.593023255813954
"Stab-IPCW",0.05,0.0163469949599298,Inf,0.928986938575441,0.545762815625741,0.924418604651163,0,0.0289869385754408,1,0.852464251566775,0.790813576562602,-0.258449565138747,0.389556066029967,0.819983861476245,3.13243157876855,6.41225938929399,0.301664224547135,1.12432377132767,75.7739739124133,NA,0.0609999999999999,6,686,343,171,172,148,81,70,0.593023255813954
"Clip-IPCW",0.05,0.0246860434214788,1.5850108299431,0.928986938575441,0.545762815625741,0.924418604651163,0,0.0289869385754408,1,0.852464251566775,0.790813576562602,-0.258449565138747,0.389556066029967,0.819983861476245,1.5850108299431,2.81084253334648,0.373150702128949,1.08329419070953,78.9231894783556,0.0987654320987654,0.0679999999999996,6,686,343,171,172,148,81,70,0.593023255813954
"H-AIPCW",0.06,0.00951253149909809,Inf,0.908257559691853,0.533584685109688,0.912790697674419,0,0.00825755969185293,1,0.971348547774729,0.901100096271254,-0.127895478346197,0.443883386686983,0.719277219886802,9.90227728980597,13.3227828883497,1.80802238911044,1.80909664857528,40.2003782147721,NA,0.125,6,686,343,171,172,148,81,70,0.593023255813954
"Clip-AIPCW",0.05,0.0139030764296439,1.5850108299431,0.928986938575441,0.545762815625741,0.924418604651163,0,0.0289869385754408,1,0.852464251566775,0.790813576562602,-0.258449565138747,0.389556066029967,0.819983861476245,1.5850108299431,2.81084253334648,0.373150702128949,1.08329419070953,78.9231894783556,0.0987654320987654,0.139,6,686,343,171,172,148,81,70,0.593023255813954
"Naive-Y",0.03,0.00643274853801167,Inf,0.95044976527729,0.622500994858913,0.924418604651163,0,0.0504497652772903,1,0.762407241582902,0.542794207197508,-0.489064837724851,0.876739676712186,0.849010704031997,1,1,0,0,171,NA,0.0500000000000007,7,686,343,171,172,146,75,78,0.546511627906977
"CC",0.03,0.0599999999999999,Inf,0.95044976527729,0.622500994858913,0.924418604651163,0,0.0504497652772903,1,0.762407241582902,0.542794207197508,-0.489064837724851,0.876739676712186,0.849010704031997,1,1,0.247678018575851,1.13469353208904,75,NA,0.0489999999999995,7,686,343,171,172,146,75,78,0.546511627906977
"HT-IPCW",0.01,-0.301341823397627,Inf,0.99096729624247,0.649038118920059,0.965116279069767,0,0.0909672962424696,1,0.359249196606123,0.255766698193092,-1.24152939977533,0.413123075585734,0.953619699439458,7.48658150822347,7.48658150822347,0.917085110537332,1.59965343402339,48.2515604961066,NA,0.308,7,686,343,171,172,146,75,78,0.546511627906977
"H-IPCW",0.05,0.0200681668120216,Inf,0.922169135433764,0.603978479670858,0.906976744186046,0,0.0221691354337644,1,1.06499147938948,0.773107788931293,-0.137518115898703,1.09156238779664,0.73226185836593,7.48658150822347,12.5056030316212,0.917085110537332,1.59965343402339,48.2515604961066,NA,0.0720000000000001,7,686,343,171,172,146,75,78,0.546511627906977
