"rep","n","setting","mech","cens","backend","method","fit_ok","error_msg","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
9,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.06,0.9565,0,0.0565,0.418588807070437,0.35260076862887,-1.03876864149326,0.935353535353535,18.9584150988696,22.1135160595002,44.1613918457238,2.11025263377589,NA,NA,NA,NA
9,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.04,0.973,0,0.073,0.337831965138752,0.28457476302103,-1.25310908487972,0.96,3.36042617177061,4.8804507298969,77.6079540189445,1.44955911112658,0.112359550561798,3.36042617177061,0.688548324273647,NA
9,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.9575,0,0.0575,0.41136319539833,0.365441007670426,-1.02754965309132,0.938383838383838,NA,NA,NA,NA,NA,NA,NA,NA
10,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.11,0.9265,0,0.0265,0.46495038623895,0.42269348384949,-0.861853937954022,0.9,15.4081958042194,15.4245439013283,63.8380949858591,1.66464913766178,NA,NA,NA,NA
10,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.11,0.9265,0,0.0265,0.46495038623895,0.42269348384949,-0.861853937954022,0.9,3.90156633141807,4.40553104724625,87.2426244935469,1.32599963210553,0.10377358490566,3.90156633141807,0.885606363813238,NA
10,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.11,0.9265,0,0.0265,0.46495038623895,0.42269348384949,-0.861853937954022,0.9,15.4081958042194,15.4245439013283,63.8380949858591,1.66464913766178,NA,NA,NA,NA
10,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.1,0.934,0,0.034,0.439426009160855,0.399488883553312,-0.918315290943711,0.908,3.90156633141807,4.40553104724625,87.2426244935469,1.32599963210553,0.10377358490566,3.90156633141807,0.885606363813238,NA
10,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.936,0,0.036,0.434419277897686,0.399488883553312,-0.923321638062347,0.908,NA,NA,NA,NA,NA,NA,NA,NA
11,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.36,0.65,0.25,0.25,0.970251439359922,0.90966307043608,-0.0952138967891001,0.538,2516.93804168462,169.218868911577,1.84390815093086,11.3885353919479,NA,NA,NA,NA
11,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.1,0.913,0,0.013,0.443815120516952,0.416100619754551,-0.877361070047314,0.85,4.78639686081179,5.81967523984909,71.9398980258137,1.53163073543391,0.126315789473684,4.78639686081179,0.822450852246509,NA
