"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"B","C3",600,0.6,"weibull_cox","DR-COSARC",100,0.94497,0.00140129485574139,0.947,0.920975,0.93145,0.99,1,0.02,7.50000000000006e-05,0.04512,0.356396060731754,0.919922594673955,NA,0.0140129485574139,NA,NA,NA,NA,NA,NA
"C","C3",600,0.6,"weibull_cox","DR-COSARC",100,0.93484,0.00141667344026901,0.93625,0.912,0.919,0.99,1,0.02,0.000145000000000001,0.03513,0.42552455565699,0.901703913024473,NA,0.0141667344026901,NA,NA,NA,NA,NA,NA
"B","C2",1200,0.6,"weibull_cox","DR-COSARC",100,0.93859,0.000953048802633956,0.9395,0.92245,0.92535,1,1,0.02,0,0.03859,0.384642610858264,0.903843304141137,NA,0.00953048802633956,NA,NA,NA,NA,NA,NA
"C","C2",1200,0.6,"weibull_cox","DR-COSARC",100,0.921505,0.00936991072637312,0.93175,0.9089,0.91335,0.97,0.99,0.02,0.009065,0.039635,0.444522391311154,0.891271123995224,NA,0.0936991072637312,NA,NA,NA,NA,NA,NA
"B","C3",1200,0.6,"weibull_cox","DR-COSARC",100,0.948622448979592,0.00105186011447602,0.9495,0.932,0.93285,1,1,0.02,0,0.0486224489795918,0.347970258647081,0.92905637413693,NA,0.0104128838772791,NA,NA,NA,NA,NA,NA
"C","C3",1200,0.6,"weibull_cox","DR-COSARC",100,0.93772,0.00102268017848922,0.93675,0.92045,0.92395,1,1,0.02,0,0.03772,0.422816909995266,0.903179795872282,NA,0.0102268017848922,NA,NA,NA,NA,NA,NA
"B","C2",600,0.8,"weibull_cox","DR-COSARC",100,0.942325,0.00124294727534716,0.94275,0.921425,0.9278,0.99,1,0.02,1.50000000000006e-05,0.042355,0.349637728733227,0.901535925296915,NA,0.0124294727534716,NA,NA,NA,NA,NA,NA
"C","C2",600,0.8,"weibull_cox","DR-COSARC",100,0.930105,0.00147136463491851,0.9305,0.905925,0.91045,0.97,1,0.02,0.000135000000000001,0.030375,0.430656853720906,0.893278115938147,NA,0.0147136463491851,NA,NA,NA,NA,NA,NA
"B","C3",600,0.8,"weibull_cox","DR-COSARC",100,0.92982,0.00143269048304301,0.93075,0.90595,0.91495,0.97,0.99,0.02,0.000385000000000002,0.03059,0.333154020874314,0.894111495179768,NA,0.0143269048304301,NA,NA,NA,NA,NA,NA
"C","C3",600,0.8,"weibull_cox","DR-COSARC",100,0.929275,0.00927442550427483,0.93925,0.913975,0.91835,0.99,0.99,0.02,0.00878,0.046835,0.346259468878721,0.883368222341763,NA,0.0927442550427483,NA,NA,NA,NA,NA,NA
"B","C2",1200,0.8,"weibull_cox","DR-COSARC",100,0.940555,0.000867915621044191,0.94075,0.926475,0.9305,1,1,0.02,0,0.040555,0.359461653790529,0.898456320612856,NA,0.00867915621044191,NA,NA,NA,NA,NA,NA
"C","C2",1200,0.8,"weibull_cox","DR-COSARC",100,0.929065,0.00119790758231074,0.931,0.908475,0.911,1,1,0.02,0,0.029065,0.443399473410897,0.890776155773027,NA,0.0119790758231074,NA,NA,NA,NA,NA,NA
"B","C3",1200,0.8,"weibull_cox","DR-COSARC",100,0.931494949494949,0.0010211254191829,0.9315,0.91445,0.9198,1,1,0.02,0,0.0314949494949495,0.337347014476796,0.90462469293884,NA,0.0101600696379721,NA,NA,NA,NA,NA,NA
"C","C3",1200,0.8,"weibull_cox","DR-COSARC",100,0.939815,0.00105857859243593,0.94075,0.922425,0.927,1,1,0.02,0,0.039815,0.354042585884672,0.893862907662083,NA,0.0105857859243593,NA,NA,NA,NA,NA,NA
"B","C2",600,0.6,"weibull_cox","H-AIPCW",100,0.925625,0.00478384473562275,0.927,0.872925,0.88965,0.82,0.92,0.02,0.006215,0.038055,0.410228172909146,0.89191568387967,0.0541135170477093,0.0478384473562275,132.946735237234,42.4525880694688,NA,NA,NA,NA
"C","C2",600,0.6,"weibull_cox","H-AIPCW",100,0.897845,0.00758688626393056,0.90875,0.79155,0.83985,0.6,0.71,0.02,0.0245,0.046845,0.498485585363363,0.862026556652211,0.067451142063397,0.0758688626393056,56.8985618373085,50.557849719174,NA,NA,NA,NA
"B","C3",600,0.6,"weibull_cox","H-AIPCW",100,0.869425,0.0129573920538966,0.89875,0.495925,0.71515,0.49,0.66,0.02,0.052545,0.074515,0.448709737563239,0.83374291067267,0.105247375744054,0.129573920538966,500.545935978055,37.4856620146634,NA,NA,NA,NA
"C","C3",600,0.6,"weibull_cox","H-AIPCW",100,0.894465,0.0110143828261235,0.911,0.7229,0.82085,0.62,0.66,0.02,0.0359,0.066265,0.490478772704787,0.861945652719491,0.0950259932541586,0.110143828261235,1790.99477135287,37.5146271122927,NA,NA,NA,NA
"B","C2",1200,0.6,"weibull_cox","H-AIPCW",100,0.916725,0.00572599237131553,0.918,0.8655,0.88045,0.76,0.92,0.02,0.01083,0.038385,0.430338651174207,0.879611521314923,0.0615473046288033,0.0572599237131553,348.698431350775,68.8300540071117,NA,NA,NA,NA
"C","C2",1200,0.6,"weibull_cox","H-AIPCW",100,0.884665,0.0101582331016508,0.897,0.739475,0.77995,0.48,0.7,0.02,0.03739,0.059445,0.521066769011702,0.849570005152212,0.0933642264889438,0.101582331016508,270.528226752903,89.2302482912294,NA,NA,NA,NA
"B","C3",1200,0.6,"weibull_cox","H-AIPCW",100,0.874415,0.0118734213304721,0.893,0.467175,0.8161,0.42,0.67,0.02,0.04352,0.061455,0.460924322196744,0.846822898049598,0.0986762894570428,0.118734213304721,102.258472382666,52.9145064229801,NA,NA,NA,NA
"C","C3",1200,0.6,"weibull_cox","H-AIPCW",100,0.894175,0.00795938990289222,0.8985,0.7756,0.8281,0.48,0.67,0.02,0.028875,0.051925,0.51848102026865,0.85944313035979,0.0747555612606443,0.0795938990289222,30695.5456648239,63.6126765702466,NA,NA,NA,NA
"B","C2",600,0.8,"weibull_cox","H-AIPCW",100,0.92035,0.00590594846512626,0.933,0.837125,0.85175,0.72,0.83,0.02,0.014175,0.0487,0.386325977681025,0.883017290080955,0.0726476900437094,0.0590594846512626,146.424054117011,17.8417099207436,NA,NA,NA,NA
"C","C2",600,0.8,"weibull_cox","H-AIPCW",100,0.87891,0.00959547552261223,0.889,0.755325,0.79935,0.43,0.56,0.02,0.042465,0.06384,0.542284170272415,0.832650001413484,0.0831061144719585,0.0959547552261223,310.775315961076,20.5636557571838,NA,NA,NA,NA
"B","C3",600,0.8,"weibull_cox","H-AIPCW",100,0.873185,0.0131331557729114,0.91675,0.558275,0.65345,0.61,0.69,0.02,0.057755,0.088695,0.411114888862419,0.835645073718306,0.121651057529229,0.131331557729114,688.266020946579,16.5667365741452,NA,NA,NA,NA
"C","C3",600,0.8,"weibull_cox","H-AIPCW",100,0.89767,0.00846494918156421,0.91425,0.73505,0.79465,0.6,0.64,0.02,0.033525,0.06472,0.475690896679125,0.856449741295786,0.0715972884763922,0.0846494918156421,921.574255687749,17.3662481023154,NA,NA,NA,NA
"B","C2",1200,0.8,"weibull_cox","H-AIPCW",100,0.914735,0.0074634139796961,0.925,0.75605,0.8635,0.72,0.84,0.02,0.019095,0.052925,0.406830723173506,0.876787269244534,0.0931545907498808,0.074634139796961,4316.30462120963,26.9105784321252,NA,NA,NA,NA
"C","C2",1200,0.8,"weibull_cox","H-AIPCW",100,0.879485,0.0084218344621033,0.891,0.7689,0.79015,0.43,0.59,0.02,0.0383,0.056085,0.538189187039974,0.841988528354169,0.0754780053587089,0.084218344621033,88.0761559576941,36.6541676841766,NA,NA,NA,NA
"B","C3",1200,0.8,"weibull_cox","H-AIPCW",100,0.84924,0.0131726961261666,0.88625,0.5389,0.5967,0.43,0.55,0.02,0.07024,0.08972,0.472750969755861,0.816480301857107,0.121624359601541,0.131726961261665,806.813886834498,24.0733244123114,NA,NA,NA,NA
"C","C3",1200,0.8,"weibull_cox","H-AIPCW",100,0.873635,0.00866859784719326,0.882,0.7144,0.7905,0.39,0.5,0.02,0.0453,0.064235,0.556493835742737,0.83560509094299,0.0763574793092638,0.0866859784719326,127.902940009565,24.9746096854662,NA,NA,NA,NA
"B","C2",600,0.6,"weibull_cox","H-IPCW",100,0.91471,0.00640059253885801,0.9265,0.8687,0.8866,0.72,0.92,0.02,0.01247,0.03965,0.410345682450246,0.876007700432913,0.0673578563204086,0.0640059253885801,132.946735237234,42.4525880694688,NA,NA,NA,NA
"C","C2",600,0.6,"weibull_cox","H-IPCW",100,0.89593,0.00782296225120883,0.91225,0.821475,0.85415,0.59,0.76,0.02,0.022475,0.04088,0.49539670122342,0.858576732288175,0.0621383272801233,0.0782296225120883,56.8985618373085,50.557849719174,NA,NA,NA,NA
"B","C3",600,0.6,"weibull_cox","H-IPCW",100,0.88296,0.0100628848003468,0.90825,0.74685,0.83075,0.6,0.76,0.02,0.034475,0.05191,0.426928928112587,0.845977205754859,0.0767635093233521,0.100628848003468,500.545935978055,37.4856620146634,NA,NA,NA,NA
"C","C3",600,0.6,"weibull_cox","H-IPCW",100,0.89019,0.00814692970611406,0.90775,0.78365,0.84275,0.57,0.68,0.02,0.028045,0.04628,0.491669620324471,0.851669534786858,0.0709744583450535,0.0814692970611405,1790.99477135287,37.5146271122927,NA,NA,NA,NA
"B","C2",1200,0.6,"weibull_cox","H-IPCW",100,0.90993,0.00630261297423777,0.92075,0.840325,0.8731,0.85,0.89,0.02,0.01443,0.03879,0.418971465002953,0.868173608267503,0.0653236696625489,0.0630261297423777,348.698431350775,68.8300540071117,NA,NA,NA,NA
"C","C2",1200,0.6,"weibull_cox","H-IPCW",100,0.90175,0.00550583024317556,0.9125,0.850125,0.86895,0.62,0.87,0.02,0.01447,0.03069,0.49141172303218,0.867024188261002,0.0495607982913182,0.0550583024317556,270.528226752903,89.2302482912294,NA,NA,NA,NA
"B","C3",1200,0.6,"weibull_cox","H-IPCW",100,0.893905,0.00531946442489061,0.905,0.79095,0.85375,0.56,0.76,0.02,0.01863,0.031165,0.445462202987551,0.866081961334963,0.040558101483669,0.0531946442489061,102.258472382666,52.9145064229801,NA,NA,NA,NA
"C","C3",1200,0.6,"weibull_cox","H-IPCW",100,0.89075,0.00837127272705334,0.90625,0.790675,0.87015,0.62,0.81,0.02,0.02372,0.03819,0.503898817349239,0.854656096620866,0.067342858612184,0.0837127272705334,30695.5456648239,63.6126765702466,NA,NA,NA,NA
"B","C2",600,0.8,"weibull_cox","H-IPCW",100,0.932075,0.00487756860587839,0.94,0.88295,0.8963,0.89,0.97,0.02,0.00682,0.045715,0.373632617458637,0.896823552343623,0.0596288181972103,0.0487756860587839,146.424054117011,17.8417099207436,NA,NA,NA,NA
"C","C2",600,0.8,"weibull_cox","H-IPCW",100,0.90786,0.00585129304539008,0.9185,0.80995,0.83325,0.61,0.76,0.02,0.018715,0.04529,0.46587516788182,0.866110993792227,0.0436450328088878,0.0585129304539008,310.775315961076,20.5636557571838,NA,NA,NA,NA
"B","C3",600,0.8,"weibull_cox","H-IPCW",100,0.886115,0.0116086715563423,0.92525,0.5876,0.719,0.71,0.75,0.02,0.042565,0.071245,0.394351342088729,0.850425086780316,0.109968360922769,0.116086715563423,688.266020946579,16.5667365741452,NA,NA,NA,NA
"C","C3",600,0.8,"weibull_cox","H-IPCW",100,0.90305,0.00825964236024732,0.926,0.759475,0.8222,0.64,0.73,0.02,0.026595,0.05624,0.44018811012726,0.861499388851773,0.0663477219052787,0.0825964236024732,921.574255687749,17.3662481023154,NA,NA,NA,NA
"B","C2",1200,0.8,"weibull_cox","H-IPCW",100,0.926425,0.00521509258370028,0.9355,0.82995,0.89035,0.87,0.91,0.02,0.01013,0.046685,0.385418856460174,0.89031825823869,0.0601455305777981,0.0521509258370028,4316.30462120963,26.9105784321252,NA,NA,NA,NA
"C","C2",1200,0.8,"weibull_cox","H-IPCW",100,0.91875,0.00456903555015562,0.92225,0.85275,0.8748,0.77,0.84,0.02,0.00962500000000001,0.038,0.461181517217822,0.885626948789303,0.036167399797066,0.0456903555015562,88.0761559576941,36.6541676841766,NA,NA,NA,NA
"B","C3",1200,0.8,"weibull_cox","H-IPCW",100,0.899195,0.0085949183218688,0.9255,0.68585,0.8043,0.71,0.78,0.02,0.028475,0.056145,0.392850417105783,0.872120882468885,0.0750041076316235,0.085949183218688,806.813886834498,24.0733244123114,NA,NA,NA,NA
"C","C3",1200,0.8,"weibull_cox","H-IPCW",100,0.90407,0.00820744002214891,0.926,0.81125,0.86055,0.71,0.82,0.02,0.02084,0.04575,0.448614363231326,0.87044704487196,0.0638653887390336,0.0820744002214891,127.902940009565,24.9746096854662,NA,NA,NA,NA
