method,tau_hat,calibration_moment,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,pac_success,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
Stab-IPCW,0.05,0.016346994959929785,Inf,0.9289869385754408,0.5457628156257408,0.9244186046511628,0,0.028986938575440768,1,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.8199838614762449,3.132431578768548,6.412259389293985,0.30166422454713515,1.1243237713276653,75.77397391241331,NA,0.06099999999999994,6,686,343,171,172,148,81,70,0.5930232558139535
Clip-IPCW,0.05,0.02468604342147882,1.5850108299430996,0.9289869385754408,0.5457628156257408,0.9244186046511628,0,0.028986938575440768,1,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.8199838614762449,1.5850108299430996,2.8108425333464826,0.3731507021289492,1.0832941907095255,78.92318947835557,0.09876543209876543,0.06799999999999962,6,686,343,171,172,148,81,70,0.5930232558139535
H-AIPCW,0.060000000000000005,0.009512531499098094,Inf,0.908257559691853,0.5335846851096884,0.9127906976744186,0,0.008257559691852934,1,0.9713485477747288,0.9011000962712536,-0.1278954783461973,0.4438833866869834,0.7192772198868019,9.902277289805971,13.322782888349654,1.8080223891104379,1.8090966485752809,40.20037821477209,NA,0.125,6,686,343,171,172,148,81,70,0.5930232558139535
Clip-AIPCW,0.05,0.013903076429643852,1.5850108299430996,0.9289869385754408,0.5457628156257408,0.9244186046511628,0,0.028986938575440768,1,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.8199838614762449,1.5850108299430996,2.8108425333464826,0.3731507021289492,1.0832941907095255,78.92318947835557,0.09876543209876543,0.13900000000000023,6,686,343,171,172,148,81,70,0.5930232558139535
Naive-Y,0.03,0.006432748538011674,Inf,0.9504497652772903,0.6225009948589127,0.9244186046511628,0,0.05044976527729028,1,0.7624072415829024,0.5427942071975083,-0.4890648377248511,0.8767396767121856,0.849010704031997,1,1,0,0,171,NA,0.05000000000000071,7,686,343,171,172,146,75,78,0.5465116279069767
CC,0.03,0.05999999999999994,Inf,0.9504497652772903,0.6225009948589127,0.9244186046511628,0,0.05044976527729028,1,0.7624072415829024,0.5427942071975083,-0.4890648377248511,0.8767396767121856,0.849010704031997,1,1,0.2476780185758514,1.1346935320890421,75,NA,0.04899999999999949,7,686,343,171,172,146,75,78,0.5465116279069767
HT-IPCW,0.01,-0.30134182339762683,Inf,0.9909672962424696,0.6490381189200591,0.9651162790697675,0,0.09096729624246958,1,0.3592491966061226,0.25576669819309217,-1.2415293997753332,0.41312307558573397,0.9536196994394577,7.486581508223469,7.486581508223469,0.9170851105373315,1.5996534340233892,48.25156049610661,NA,0.30799999999999983,7,686,343,171,172,146,75,78,0.5465116279069767
H-IPCW,0.05,0.02006816681202159,Inf,0.9221691354337644,0.6039784796708582,0.9069767441860465,0,0.02216913543376442,1,1.0649914793894788,0.773107788931293,-0.13751811589870275,1.0915623877966358,0.7322618583659305,7.486581508223469,12.505603031621218,0.9170851105373315,1.5996534340233892,48.25156049610661,NA,0.07200000000000006,7,686,343,171,172,146,75,78,0.5465116279069767
Stab-IPCW,0.03,0.05959041023561168,Inf,0.9504497652772903,0.6225009948589127,0.9244186046511628,0,0.05044976527729028,1,0.7624072415829024,0.5427942071975083,-0.4890648377248511,0.8767396767121856,0.849010704031997,1.345944447530552,3.112802009482681,0.24489995204865114,1.144507684559426,74.27556504545733,NA,0.05799999999999983,7,686,343,171,172,146,75,78,0.5465116279069767
Clip-IPCW,0.05,0.006206077739304156,1.5107958197864106,0.9221691354337644,0.6039784796708582,0.9069767441860465,0,0.02216913543376442,1,1.0649914793894788,0.773107788931293,-0.13751811589870275,1.0915623877966358,0.7322618583659305,1.5107958197864106,2.9612957278057506,0.34889567210988814,1.1577740113634187,73.3086967576281,0.10666666666666667,0.06400000000000006,7,686,343,171,172,146,75,78,0.5465116279069767
