"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"B","C3",300,0.6,"weibull_cox","Clip-AIPCW",100,0.93503,0.00290845875391629,0.93825,0.89,0.00217,0.03937,0.364890183799588,0.903874383183925,0.0301596760693158,0.0290845875391629,3.54919936458529,40.1775049583298,0.106431837033273
"C","C3",300,0.6,"weibull_cox","Clip-AIPCW",100,0.93025,0.00377495401002155,0.93425,0.81,0.00552500000000001,0.0413,0.415125342206129,0.895363055160775,0.0364975438498361,0.0377495401002155,3.68965693470504,39.3198506622062,0.107290330523614
"A","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.9163,0.0096417652099414,0.92875,0.8,0.011825,0.03995,0.229711054230317,0.9013504417277,0.0275701126423363,0.096417652099414,3.12716516919337,82.2739805229122,0.103681017780938
"B","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.929435,0.0019735966117367,0.93025,0.92,0.000715000000000003,0.030865,0.382233392568422,0.901448056954968,0.0214089568719131,0.019735966117367,3.3492991453412,81.1943310088919,0.102900690152668
"C","C1",600,0.6,"weibull_cox","Clip-AIPCW",100,0.908335,0.013311338022509,0.9295,0.83,0.02091,0.050155,0.439417876965598,0.876998342543945,0.0305233806724741,0.13311338022509,3.34576098915313,80.0359353200252,0.103986147715823
"A","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.912685,0.00949847051749476,0.9225,0.81,0.011285,0.035255,0.241458541765423,0.896430832103674,0.0243482727074917,0.0949847051749476,3.4699972370454,81.8800570019676,0.104048286383747
"B","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.93411,0.00202531429160957,0.935,0.92,0.000630000000000002,0.03537,0.387614840347675,0.900336412830923,0.0240645176577676,0.0202531429160957,3.81594876135097,80.3105226148554,0.103933269292278
"C","C2",600,0.6,"weibull_cox","Clip-AIPCW",99,0.92209595959596,0.00268523871291836,0.9255,0.828282828282828,0.0038989898989899,0.0298939393939394,0.453695074503586,0.889059890914569,0.0275895498546689,0.0267177878498611,3.5790876608207,81.6406502118326,0.103599331485791
"A","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.929525,0.00215401170241515,0.93,0.92,0.000940000000000002,0.031405,0.230008442189083,0.914772071462064,0.0241917842302387,0.0215401170241515,3.05270756161142,82.6533023298932,0.103636778054486
"B","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.9294,0.00219497819873667,0.9315,0.92,0.001375,0.03215,0.377997599491457,0.901258540060664,0.0237007863314126,0.0219497819873667,3.33432792410441,80.4926046083533,0.103397504903597
"C","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.925165,0.00260564708223729,0.92875,0.83,0.002845,0.030855,0.442835297040665,0.892488241500145,0.0268514431641951,0.0260564708223729,3.35049030556194,79.4945028605026,0.104073355902099
"A","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93172,0.00181752579073861,0.9335,0.94,0.000630000000000002,0.03298,0.225657076052819,0.916956581192235,0.0171890850967888,0.0181752579073861,3.10500058508671,164.26628147633,0.101675050022542
"B","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92935,0.00154106253519244,0.93125,0.95,0.000450000000000003,0.03025,0.396466631047505,0.908237001706334,0.0139855625412766,0.0154106253519244,3.30272069884903,163.618366045889,0.102124480417169
"C","C1",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92724,0.00175144211864095,0.92675,0.94,0.000265000000000002,0.02777,0.45048489420171,0.896511512048144,0.0186179016708721,0.0175144211864095,3.26552105274679,163.409333295926,0.101972440550609
"A","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.917475,0.00938665336334715,0.927,0.93,0.00949,0.036455,0.232991579103544,0.901821700282506,0.0172328087371066,0.0938665336334715,3.48790063395855,163.23864406895,0.101664963378234
"B","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93301,0.00150406822056754,0.93225,0.98,1.00000000000011e-05,0.03303,0.390344310614883,0.898375080918056,0.0154971486461741,0.0150406822056754,3.77460949278972,160.828640849546,0.102147570079968
"C","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.910145,0.00938639218940554,0.9185,0.8,0.010505,0.031155,0.477218258354217,0.877814340091133,0.0217132366648698,0.0938639218940554,3.63143580352157,163.435220761815,0.101775335775168
"A","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.915005,0.0131595425586734,0.93575,0.94,0.01859,0.052185,0.216799105659924,0.900546074403655,0.0187756558480723,0.131595425586734,3.04884365459589,164.463179518208,0.101520415163463
"B","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92995,0.00176193620540563,0.93175,0.93,0.000740000000000003,0.03143,0.388026478211188,0.908279592444509,0.0150618254490811,0.0176193620540563,3.33684857228611,161.816714153381,0.102066426378923
"C","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92489,0.0017841980344857,0.92475,0.93,0.000590000000000003,0.02607,0.45713953657873,0.892758494095373,0.0183941141222793,0.017841980344857,3.28175697451285,162.257811537918,0.101787465442875
"A","C1",300,0.8,"weibull_cox","Clip-AIPCW",100,0.947015,0.00345272147820536,0.9535,0.92,0.0029,0.052815,0.175715394455396,0.927139739124878,0.0342633885945304,0.0345272147820536,5.2726853973869,18.266360354416,0.114562891106553
"B","C1",300,0.8,"weibull_cox","Clip-AIPCW",100,0.947845,0.00385210617321187,0.95825,0.92,0.00354,0.054925,0.316170520157829,0.913593621132988,0.0317496520302255,0.0385210617321187,6.33174935302717,17.7317924554695,0.116462951342662
"C","C1",300,0.8,"weibull_cox","Clip-AIPCW",100,0.932925,0.00595954109395221,0.94975,0.78,0.01376,0.060445,0.35671554956931,0.88387437750474,0.0406830568063796,0.0595954109395221,5.89873536539045,17.5049342676785,0.115922687872438
"A","C2",300,0.8,"weibull_cox","Clip-AIPCW",100,0.93623,0.00453832957744756,0.94625,0.87,0.00723,0.05069,0.185311778665078,0.912905981849417,0.0428806188708544,0.0453832957744756,7.02831768636385,17.4361201344541,0.114907865649896
"B","C2",300,0.8,"weibull_cox","Clip-AIPCW",100,0.95244,0.0032748296277683,0.961,0.93,0.001855,0.05615,0.285684501459532,0.909110776503627,0.0417128229200518,0.032748296277683,8.38720479454163,17.3437271188922,0.112817018155905
"C","C2",300,0.8,"weibull_cox","Clip-AIPCW",100,0.93004,0.00516232310088973,0.93975,0.78,0.01044,0.05092,0.387624562467863,0.885564375794632,0.0455383066630433,0.0516232310088973,8.85348912813235,16.1843854977581,0.114513115107076
"A","C3",300,0.8,"weibull_cox","Clip-AIPCW",100,0.94749,0.00384464720373822,0.95475,0.93,0.003455,0.0544,0.169592519273095,0.92813300233612,0.0350138500735023,0.0384464720373822,5.1193586906298,18.4301615035635,0.113796691700472
"B","C3",300,0.8,"weibull_cox","Clip-AIPCW",100,0.95136,0.00385321641848427,0.96225,0.92,0.003285,0.05793,0.297783320371792,0.919113613266015,0.0333240896273994,0.0385321641848427,6.58825086664622,17.4507406695393,0.115574503973188
"C","C3",300,0.8,"weibull_cox","Clip-AIPCW",100,0.93368,0.00571478907234678,0.95025,0.81,0.0133,0.06028,0.340219980037119,0.882428587580062,0.0382147044521299,0.0571478907234678,6.20304339998858,17.6311038951167,0.1160057570868
"A","C1",600,0.8,"weibull_cox","Clip-AIPCW",100,0.93924,0.00287643227388768,0.94125,0.94,0.002355,0.04395,0.199134365204257,0.921566880698014,0.0259572297785757,0.0287643227388768,5.15516510068457,35.9277218911126,0.105986837298426
"B","C1",600,0.8,"weibull_cox","Clip-AIPCW",100,0.94286,0.00252139411493489,0.94225,0.94,0.001225,0.04531,0.350068253909311,0.917341703649429,0.0237994567461978,0.0252139411493489,5.90573354251019,36.0528273248811,0.107651416054082
"C","C1",600,0.8,"weibull_cox","Clip-AIPCW",100,0.937455,0.00333231874710737,0.94225,0.85,0.00323,0.043915,0.398071707715556,0.90549541430899,0.0294295941205619,0.0333231874710737,5.64114749625876,35.5070136034635,0.107015360446529
"A","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.936625,0.00295448960708679,0.942,0.92,0.00234,0.041305,0.199213855714302,0.918398532255836,0.027408433414229,0.0295448960708679,6.58761446588958,35.5064996904729,0.107708471816347
"B","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.947875,0.00264501985824399,0.951,0.98,0.00118,0.050235,0.338298531521161,0.911851490030921,0.0369744656636321,0.0264501985824399,7.24570464148101,34.9603459958983,0.108005825617477
"C","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.925115,0.00378203391782194,0.92825,0.74,0.00620500000000001,0.037525,0.442910643845689,0.887476745433349,0.0366727267719335,0.0378203391782194,7.04412076790082,34.8439739001629,0.108186967464513
"A","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.944055,0.00245272364583299,0.9485,0.96,0.000425000000000002,0.044905,0.185024417919414,0.927509926292809,0.0236421127429317,0.0245272364583299,5.00499122298722,36.2085473475684,0.106925290006254
