"rep","setting","mech","n","cens","q","method","cclip","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
8,"A","C1",600,0.2,0.95,"Clip-IPCW",1.65095493317522,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.65095493317522,1.81640991840177,188.763493811536,0.522080437812726,0.0414507772020725,1.65095493317522,0.908910987795018,NA
8,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.65095493317522,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.65095493317522,1.81640991840177,188.763493811536,0.522080437812726,0.0414507772020725,1.65095493317522,0.908910987795018,NA
8,"A","C1",600,0.2,0.9,"Clip-IPCW",1.41495442130518,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.41495442130518,1.57876601198393,190.511361931567,0.510738951514811,0.103626943005181,1.41495442130518,0.896240741544153,NA
8,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.41495442130518,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.41495442130518,1.57876601198393,190.511361931567,0.510738951514811,0.103626943005181,1.41495442130518,0.896240741544153,NA
8,"A","C1",600,0.2,0.85,"Clip-IPCW",1.29322368142488,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.29322368142488,1.46058723887216,191.478361639406,0.504445842766953,0.124352331606218,1.29322368142488,0.885413515199186,NA
8,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.29322368142488,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.29322368142488,1.46058723887216,191.478361639406,0.504445842766953,0.124352331606218,1.29322368142488,0.885413515199186,NA
8,"A","C1",600,0.2,0.8,"Clip-IPCW",1.21392255838404,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.21392255838404,1.38642929547618,192.05601909496,0.5006794366709,0.191709844559585,1.21392255838404,0.875574803810754,NA
8,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.21392255838404,0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.21392255838404,1.38642929547618,192.05601909496,0.5006794366709,0.191709844559585,1.21392255838404,0.875574803810754,NA
9,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,2.40300030155548,2.70750352849664,171.716461629981,0.631915071686231,0,Inf,0.887533580755761,NA
9,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.1,0.896,0.004,0.004,0.425484391063709,0.276846808367304,-1.27224580180468,0.872,2.40300030155548,2.70750352849664,171.716461629981,0.631915071686231,0,Inf,0.887533580755761,NA
9,"A","C1",600,0.2,0.95,"Clip-IPCW",1.81401763798042,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.81401763798042,2.06456821400895,174.054444942592,0.616817767443268,0.0388888888888889,1.81401763798042,0.878642626420166,NA
9,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.81401763798042,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.81401763798042,2.06456821400895,174.054444942592,0.616817767443268,0.0388888888888889,1.81401763798042,0.878642626420166,NA
9,"A","C1",600,0.2,0.9,"Clip-IPCW",1.40566438569225,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.40566438569225,1.6469914659515,177.425893633293,0.595107601621838,0.127777777777778,1.40566438569225,0.853473994705956,NA
9,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.40566438569225,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.40566438569225,1.6469914659515,177.425893633293,0.595107601621838,0.127777777777778,1.40566438569225,0.853473994705956,NA
9,"A","C1",600,0.2,0.85,"Clip-IPCW",1.29040369534822,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.29040369534822,1.53646237931644,178.438430584584,0.588596010917548,0.188888888888889,1.29040369534822,0.839853752828176,NA
9,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.29040369534822,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.29040369534822,1.53646237931644,178.438430584584,0.588596010917548,0.188888888888889,1.29040369534822,0.839853752828176,NA
9,"A","C1",600,0.2,0.8,"Clip-IPCW",1.22970373134009,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.22970373134009,1.4802906990203,178.915706390862,0.585527388900732,0.227777777777778,1.22970373134009,0.830717731425279,NA
9,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.22970373134009,0.09,0.9055,0,0.00549999999999995,0.398409925674416,0.259230464527902,-1.33799262615217,0.888,1.22970373134009,1.4802906990203,178.915706390862,0.585527388900732,0.227777777777778,1.22970373134009,0.830717731425279,NA
10,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.09,0.8645,0.0355,0.0355,0.486400231029215,0.341896895422991,-1.07719332835887,0.846,23.5833450540456,19.5680357709843,81.3491385109079,1.39943073759117,0,Inf,1.20519736012622,NA
10,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.05,0.918,0,0.018,0.349585789580484,0.245728288180816,-1.40747613868638,0.902,23.5833450540456,19.5680357709843,81.3491385109079,1.39943073759117,0,Inf,1.20519736012622,NA
10,"A","C1",600,0.2,0.95,"Clip-IPCW",2.20152325731434,0.08,0.8775,0.0225000000000001,0.0225000000000001,0.454972885603124,0.319806215470331,-1.14398730889432,0.860373647984267,2.20152325731434,2.14440546210434,188.614880915173,0.523042979485717,0.0594059405940594,2.20152325731434,1.02663572548167,NA
10,"A","C1",600,0.2,0.95,"Clip-AIPCW",2.20152325731434,0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,2.20152325731434,2.14440546210434,188.614880915173,0.523042979485717,0.0594059405940594,2.20152325731434,1.02663572548167,NA
10,"A","C1",600,0.2,0.9,"Clip-IPCW",1.55048473275097,0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,1.55048473275097,1.58351661578084,196.990427520838,0.468238016967772,0.128712871287129,1.55048473275097,0.979140172764417,NA
10,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.55048473275097,0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,1.55048473275097,1.58351661578084,196.990427520838,0.468238016967772,0.128712871287129,1.55048473275097,0.979140172764417,NA
10,"A","C1",600,0.2,0.85,"Clip-IPCW",1.33255075830978,0.07,0.891,0.00900000000000001,0.00900000000000001,0.421968081937556,0.296606720101207,-1.21929545803208,0.874139626352016,1.33255075830978,1.40195070299149,199.68840693855,0.450241191285808,0.178217821782178,1.33255075830978,0.950497585590114,NA
