method,tau_hat,calibration_moment,feasible_found,boundary_fallback,pac_success_nominal,pac_success_tol,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
Clip-IPCW,0.05,0.025226884106077874,TRUE,FALSE,1,1,1.672192606764419,0.9333234172484394,0.5729881497836485,0.9244186046511628,0,0.033323417248439346,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.82914916549553,1.672192606764419,2.9441544995396502,0.38187028012553587,1.0880083478459477,78.5542497629011,0.09876543209876543,0.10800000000000054,6,686,343,171,172,148,81,70,0.5930232558139535
H-AIPCW,0.060000000000000005,0.009512531499098094,TRUE,FALSE,1,1,Inf,0.913797157449423,0.5610005415573193,0.9127906976744186,0,0.013797157449423003,0.9713485477747288,0.9011000962712536,-0.1278954783461973,0.4438833866869834,0.7420298545055102,9.902277289805971,13.322782888349654,1.8080223891104379,1.8090966485752809,40.20037821477209,NA,0.21600000000000108,6,686,343,171,172,148,81,70,0.5930232558139535
Clip-AIPCW,0.05,0.013931527699215927,TRUE,FALSE,1,1,1.672192606764419,0.9333234172484394,0.5729881497836485,0.9244186046511628,0,0.033323417248439346,0.8524642515667746,0.7908135765626021,-0.2584495651387465,0.3895560660299667,0.82914916549553,1.672192606764419,2.9441544995396502,0.38187028012553587,1.0880083478459477,78.5542497629011,0.09876543209876543,0.2259999999999991,6,686,343,171,172,148,81,70,0.5930232558139535
Naive-Y,0.03,0.006432748538011674,TRUE,FALSE,1,1,Inf,0.9522630741465237,0.6388831388356425,0.9244186046511628,0,0.05226307414652365,0.7624072415829024,0.5427942071975083,-0.4890648377248511,0.8767396767121856,0.8574745418955094,1,1,0,0,171,NA,0.0799999999999983,7,686,343,171,172,146,75,78,0.5465116279069767
CC,0.03,0.05999999999999994,TRUE,FALSE,1,1,Inf,0.9522630741465237,0.6388831388356425,0.9244186046511628,0,0.05226307414652365,0.7624072415829024,0.5427942071975083,-0.4890648377248511,0.8767396767121856,0.8574745418955094,1,1,0.2476780185758514,1.1346935320890421,75,NA,0.07499999999999929,7,686,343,171,172,146,75,78,0.5465116279069767
HT-IPCW,0.01,-0.30134182339762683,FALSE,TRUE,1,1,Inf,0.9913288275809533,0.6650927565902077,0.9651162790697675,0,0.09132882758095329,0.3592491966061226,0.25576669819309217,-1.2415293997753332,0.41312307558573397,0.9567968500543771,7.486581508223469,7.486581508223469,0.9170851105373315,1.5996534340233892,48.25156049610661,NA,0.6479999999999997,7,686,343,171,172,146,75,78,0.5465116279069767
H-IPCW,0.05,0.02006816681202159,TRUE,FALSE,1,1,Inf,0.9248754382998519,0.6205084908732696,0.9069767441860465,0,0.024875438299851838,1.085905061236014,0.773107788931293,-0.13537661234384216,1.248750012331388,0.7471412235059386,7.486581508223469,12.505603031621218,0.9170851105373315,1.5996534340233892,48.25156049610661,NA,0.0799999999999983,7,686,343,171,172,146,75,78,0.5465116279069767
Stab-IPCW,0.03,0.05959041023561168,TRUE,FALSE,1,1,Inf,0.9522630741465237,0.6388831388356425,0.9244186046511628,0,0.05226307414652365,0.7624072415829024,0.5427942071975083,-0.4890648377248511,0.8767396767121856,0.8574745418955094,1.345944447530552,3.112802009482681,0.24489995204865114,1.144507684559426,74.27556504545733,NA,0.10000000000000142,7,686,343,171,172,146,75,78,0.5465116279069767
Clip-IPCW,0.05,0.008907888458896576,TRUE,FALSE,1,1,1.9904988562285046,0.9248754382998519,0.6205084908732696,0.9069767441860465,0,0.024875438299851838,1.085905061236014,0.773107788931293,-0.13537661234384216,1.248750012331388,0.7471412235059386,1.9904988562285046,3.7891692975699387,0.38604753643354506,1.1827759085884126,71.52484003811547,0.06666666666666667,0.09499999999999886,7,686,343,171,172,146,75,78,0.5465116279069767
H-AIPCW,0.05,0.016123255280956927,TRUE,FALSE,1,1,Inf,0.9248754382998519,0.6205084908732696,0.9069767441860465,0,0.024875438299851838,1.085905061236014,0.773107788931293,-0.13537661234384216,1.248750012331388,0.7471412235059386,7.486581508223469,12.505603031621218,0.9170851105373315,1.5996534340233892,48.25156049610661,NA,0.21699999999999875,7,686,343,171,172,146,75,78,0.5465116279069767
